id	KAT2A	Type
CGGA_1	2.64025969	Tumor
CGGA_2	3.115152163	Tumor
CGGA_3	3.331498704	Tumor
CGGA_4	3.420484034	Tumor
CGGA_5	3.530837574	Tumor
CGGA_6	3.539316828	Tumor
CGGA_7	3.572953268	Tumor
CGGA_8	3.587233483	Tumor
CGGA_9	3.620461247	Tumor
CGGA_10	3.626094618	Tumor
CGGA_11	3.628430816	Tumor
CGGA_12	3.720157443	Tumor
CGGA_13	3.730272187	Tumor
CGGA_14	3.755939247	Tumor
CGGA_15	3.810857224	Tumor
CGGA_16	3.814114804	Tumor
CGGA_17	3.843246321	Tumor
CGGA_18	3.918292373	Tumor
CGGA_19	3.95852958	Tumor
CGGA_20	3.960638795	Tumor
CGGA_21	4.047231163	Tumor
CGGA_22	4.104973125	Tumor
CGGA_23	4.114630965	Tumor
CGGA_24	4.130965388	Tumor
CGGA_25	4.143385842	Tumor
CGGA_26	4.226488161	Tumor
CGGA_27	4.227745306	Tumor
CGGA_28	4.228667054	Tumor
CGGA_29	4.266173261	Tumor
CGGA_30	4.285171154	Tumor
CGGA_31	4.29686086	Tumor
CGGA_32	4.300446884	Tumor
CGGA_33	4.323633301	Tumor
CGGA_34	4.344849688	Tumor
CGGA_35	4.354514887	Tumor
CGGA_36	4.374624445	Tumor
CGGA_37	4.399712997	Tumor
CGGA_38	4.406595637	Tumor
CGGA_39	4.411745391	Tumor
CGGA_40	4.424574231	Tumor
CGGA_41	4.446802951	Tumor
CGGA_42	4.451727523	Tumor
CGGA_43	4.455101342	Tumor
CGGA_44	4.463516313	Tumor
CGGA_45	4.471065997	Tumor
CGGA_46	4.472740658	Tumor
CGGA_47	4.481931588	Tumor
CGGA_48	4.501042064	Tumor
CGGA_49	4.551040064	Tumor
CGGA_50	4.563992799	Tumor
CGGA_51	4.566414092	Tumor
CGGA_52	4.574468421	Tumor
CGGA_53	4.581576397	Tumor
CGGA_54	4.589701558	Tumor
CGGA_55	4.60563824	Tumor
CGGA_56	4.606432453	Tumor
CGGA_57	4.611984989	Tumor
CGGA_58	4.619896163	Tumor
CGGA_59	4.645292574	Tumor
CGGA_60	4.660641263	Tumor
CGGA_61	4.677684518	Tumor
CGGA_62	4.691544342	Tumor
CGGA_63	4.69341912	Tumor
CGGA_64	4.697086572	Tumor
CGGA_65	4.716759029	Tumor
CGGA_66	4.72055767	Tumor
CGGA_67	4.74473521	Tumor
CGGA_68	4.766448854	Tumor
CGGA_69	4.779091675	Tumor
CGGA_70	4.790195025	Tumor
CGGA_71	4.790933524	Tumor
CGGA_72	4.792409876	Tumor
CGGA_73	4.796833786	Tumor
CGGA_74	4.812989109	Tumor
CGGA_75	4.819568569	Tumor
CGGA_76	4.826745288	Tumor
